Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)",Solar forecast (Current)
3.5,0,0,0
3.6,0,0,0
2.8,0,0,0
2.7,0,0,0
3.4,0,0,0
2.8,0,0,0
2.9,0,0,0
2.7,0,0,0
3.4,0,0,0
2.7,0,0,0
2.9,0,0,0
2.8,0,0,0
3.5,0,0,0
2.8,0,0,0
3.6,0,0,0
2.8,0,0,0
2.7,0,0,0
2.9,0,0,0
2.8,0,0,0
2.7,0,0,0
2.6,0,0,0
2.6,0,0,0
3.4,0,0,0
3.6,0,0,0
2.8,0,0,0
2.9,0,0,0
3.3,0,0,0
3.8,0,0,0
3.1,0,0,0
4,0,0,0
4.3,0,0,0
4.9,0,0,0
10,52.6,41.5,41.3
87.3,298,290.3,277.9
491.8,770.7,818.6,797.3
1111.9,1418.6,1543.1,1498.5
1934.9,2173.8,2364.9,2267.3
2832.6,3035.7,3263.8,3192.8
3651.5,3946.7,4202.1,4080.2
4451,4801.5,5071.1,5008.8
5299.5,5565.5,5859.7,5846.4
6099.3,6281.9,6562,6607.6
6741.1,6899.3,7150.5,7253.7
7229.9,7382,7610.5,7902.3
7773.6,7758.8,7995.4,8445.9
8178.6,8055,8314.5,8896.5
8335.2,8240.1,8506.2,9221
8257.6,8306.2,8552.5,9328.7
8115.4,8290.4,8512.7,9295.3
8003.4,8171.6,8372,9121.2
7672.3,7978.3,8186.4,8854.8
7295.5,7720.9,7981.4,8489.2
6963.7,7432.7,7741.6,8119.8
6613.5,7091.8,7438.9,7581.7
6196.6,6681.7,7048,7054
5690,6186.7,6568,6419.7
5237.2,5617.4,5928.6,5744.5
4587.1,4965.6,5280.2,5024.2
3859.4,4234,4525.8,4283
3114.2,3474.9,3722.3,3575.7
2376.5,2745.2,2950.3,2823.2
1681.6,2030.8,2221.9,2129.2
1051.5,1351.4,1545.2,1456.6
579.3,756.7,938,832.2
246.5,322.8,450.5,381
65.5,102.8,178.7,148.6
13.9,26,60.2,28.7
7.8,7.3,16.8,8.4
4.5,0,0,0
4.1,0,0,0
7.8,0,0,0
7,0,0,0
7.3,0,0,0
6.6,0,0,0
4,0,0,0
3.4,0,0,0
5.8,0,0,0
6,0,0,0
2.9,0,0,0
2.7,0,0,0
4.2,0,0,0
2.7,0,0,0
2.7,0,0,0
2.6,0,0,0
3.4,0,0,0
2.6,0,0,0
3.3,0,0,0
2.6,0,0,0
2.9,0,0,0
2.5,0,0,0
2.5,0,0,0
2.5,0,0,0
3.5,0,0,0
3.1,0,0,0
2.8,0,0,0
2.8,0,0,0
3.5,0,0,0
3.5,0,0,0
2.7,0,0,0
2.7,0,0,0
2.6,0,0,0
2.5,0,0,0
2.6,0,0,0
2.6,0,0,0
3.3,0,0,0
2.5,0,0,0
2.7,0,0,0
3.6,0,0,0
3.6,0,0,0
3.5,0,0,0
2.8,0,0,0
2.7,0,0,0
2.6,0,0,0
2.7,0,0,0
2.7,0,0,0
2.7,0,0,0
2.5,0,0,0
2.7,0,0,0
2.8,0,0,0
3.8,0,0,0
2.9,0,0,0
2.8,0,0,0
3.6,0,0,0
3.7,0,0,0
2.7,0,0,0
2.6,0,0,0
2.8,0,0,0
2.9,0,0,0
3.9,12,7.9,7.9
11.6,80.7,67.3,63.4
54.3,200,172.1,168.5
133.2,302.3,255.4,253.1
247,397.1,338.6,338
426.2,505.6,453.4,476.9
628.7,647.2,613.2,664.6
849.7,753.9,731.9,803.8
1068,823.9,826,895.2
1282.9,928.5,930.9,1042.3
1496.8,1030.2,1051,1204.1
1712.5,1121.1,1151.1,1340.4
1909.2,1182.2,1232.8,1452.2
2097.5,1257.8,1309.1,1569.4
2238.5,1323.4,1369.8,1670.3
2368.2,1374.5,1413.3,1756.2
2519.6,1388.3,1420.7,1806
2616.8,1396.9,1421.9,1851.3
2677,1389.9,1401.2,1897.3
2688,1368.8,1365.7,1968.7
2587.5,1330.6,1289,1972.2
2452,1271.6,1223.8,2022.9
2233.9,1191.8,1143.9,1928.6
1954.6,1099.8,1053.4,1748
1632.7,988,922.5,1541.2
1338.5,861.8,805.7,1348.5
1096.2,715.5,673.3,1103.5
863.2,569.4,552,906.1
627.7,496.8,465,707
413.5,378.9,377,487.8
233.2,284.5,306.7,321.1
99.8,201.3,234.8,187.9
28.3,121,162,90.3
8.1,58.7,88.9,35.4
7.1,27.7,39.6,15.4
6.8,17.1,18.9,11.1
5.2,0,0,0
3.6,0,0,0
3.5,0,0,0
3.4,0,0,0
6.2,0,0,0
3.1,0,0,0
3,0,0,0
2.9,0,0,0
3.6,0,0,0
2.8,0,0,0
2.7,0,0,0
2.7,0,0,0
3.2,0,0,0
3.1,0,0,0
2.4,0,0,0
2.4,0,0,0
3.3,0,0,0
3.4,0,0,0
2.6,0,0,0
2.5,0,0,0
3.2,0,0,0
2.5,0,0,0
4.6,0,0,0
2.7,0,0,0
3.2,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
3.5,0,0,0
3,0,0,0
2.7,0,0,0
2.6,0,0,0
3.3,0,0,0
2.7,0,0,0
2.7,0,0,0
2.7,0,0,0
3.3,0,0,0
2.9,0,0,0
2.7,0,0,0
2.8,0,0,0
3.2,0,0,0
2.5,0,0,0
2.6,0,0,0
2.8,0,0,0
2.8,0,0,0
2.8,0,0,0
2.8,0,0,0
3.3,0,0,0
2.6,0,0,0
2.7,0,0,0
2.8,0,0,0
2.8,0,0,0
3.6,0,0,0
2.9,0,0,0
2.8,0,0,0
3.6,0,0,0
2.7,0,0,0
2.7,0,0,0
2.9,0,0,0
3.4,0,0,0
11.4,29,25.1,25
80.3,199.5,181.1,178.2
380,508.4,460.5,458.9
786.8,925.7,813.9,813.7
1329,1408.7,1223.1,1220
1999.8,1938.1,1718.1,1850.1
2709.8,2479.9,2235.8,2428
3448.3,2989.5,2739.1,3014.2
4194.7,3492.6,3243.2,3570.9
5042.3,3969.3,3719.7,4088.4
5418.4,4384.9,4141.2,4519.9
5717.1,4734.9,4501.4,4983.3
5953.9,5069.8,4830.7,5286.9
6037.8,5392.7,5135.3,5509.1
6105.6,5637.8,5367.1,5707.7
6178.3,5798.2,5522.5,5868
6235,5928,5650.5,5905.7
6266.2,6027.8,5739.8,5949.1
6508.6,6015.9,5757.6,5979.1
6625,5897.3,5698.3,6001
6597,5733.2,5600.6,5894.5
6266.2,5557.2,5433.9,5834.4
5960.9,5270.3,5147.8,5490.7
5689.9,4882.8,4759,5014.5
5090.7,4463.3,4137.6,4550.3
4555.7,3991.8,3685.4,4127.6
3822.7,3425.2,3150.6,3596.6
3154.2,2809.3,2577.1,2920.8
2477,2224.5,2035.6,2291
1856.2,1721.6,1585.6,1737.6
1273.8,1196.6,1118.9,1150
702.6,719.5,692.9,641.1
289.8,345.4,353.2,282.3
68.2,128.3,151.1,87.2
9.6,42.3,53.5,25.5
8.4,14.5,17.4,9.5
3.9,0,0,0
4.1,0,0,0
7.9,0,0,0
9.6,0,0,0
3.6,0,0,0
4.9,0,0,0
6.2,0,0,0
3.2,0,0,0
6.5,0,0,0
3.6,0,0,0
3.3,0,0,0
2.7,0,0,0
5.8,0,0,0
2.5,0,0,0
2.4,0,0,0
2.4,0,0,0
3.2,0,0,0
2.5,0,0,0
2.5,0,0,0
2.5,0,0,0
3.2,0,0,0
3.2,0,0,0
2.5,0,0,0
2.6,0,0,0
3.4,0,0,0
3.4,0,0,0
2.6,0,0,0
2.6,0,0,0
3.2,0,0,0
3.3,0,0,0
2.5,0,0,0
2.5,0,0,0
2.9,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
3.2,0,0,0
3.3,0,0,0
2.5,0,0,0
2.6,0,0,0
3.3,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
2.7,0,0,0
3.4,0,0,0
2.4,0,0,0
2.5,0,0,0
2.8,0,0,0
3.5,0,0,0
2.7,0,0,0
2.8,0,0,0
3.6,0,0,0
4.1,0,0,0
2.5,0,0,0
2.6,0,0,0
2.8,0,0,0
3.4,0,0,0
5.7,18.6,10.2,10.3
29.9,131.6,94.1,89.1
177.2,342.6,271.6,262
450.4,586.9,488.2,482.7
845.3,881.3,789.9,780.8
1310.5,1234.2,1150.8,1201.4
1830.3,1635.3,1554.3,1658.4
2379,2013.8,1952,2108.1
2894.4,2388.4,2331.6,2577.2
3352.6,2794.7,2736,3107.9
3844.5,3191.1,3124.4,3592.4
4292.4,3558.4,3491.4,4049.9
4661.1,3901.6,3835.2,4380.2
4954.7,4231.4,4165.7,4746.2
5235.1,4509.6,4442.1,5050.4
5375.5,4732.2,4665.3,5315.3
5457.5,4892,4833.8,5437.2
5469.2,5008.9,4992.2,5570.1
5654.6,5076.8,5075.2,5645.1
5571.2,5095.2,5090.1,5706.3
5384.2,5042.2,5036.9,5628.4
5197,4957,4988.9,5549.3
4993.5,4800.3,4864.5,5373.1
4665.9,4575.1,4662.8,5059.6
4239.8,4283.3,4358.1,4694.8
3953.9,3910.2,3998.5,4252.9
3485.9,3438.9,3522.2,3757.1
2950.3,2902.3,2967.6,3061.8
2387.2,2343.7,2415.8,2509.4
1818.5,1862.4,1893.5,1912.1
1251.8,1336.4,1340,1340.8
689.2,846.6,832.1,776.7
285.9,435.9,417,369.8
75.7,181.4,168.7,149.9
12.1,70.5,56,48.3
8.9,27.1,16.6,15
3.9,0,0,0
3.9,0,0,0
8.8,0,0,0
13.5,0,0,0
12,0,0,0
10.8,0,0,0
11.6,0,0,0
10.8,0,0,0
6.8,0,0,0
2.9,0,0,0
2.8,0,0,0
3.5,0,0,0
3.4,0,0,0
2.8,0,0,0
2.8,0,0,0
2.8,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
2.8,0,0,0
3.3,0,0,0
2.5,0,0,0
2.5,0,0,0
2.5,0,0,0
3.4,0,0,0
3.4,0,0,0
2.5,0,0,0
2.5,0,0,0
3.2,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
2.8,0,0,0
3.4,0,0,0
2.7,0,0,0
2.6,0,0,0
2.5,0,0,0
2.7,0,0,0
2.8,0,0,0
2.8,0,0,0
2.9,0,0,0
2.8,0,0,0
2.8,0,0,0
2.9,0,0,0
2.8,0,0,0
2.8,0,0,0
2.7,0,0,0
2.9,0,0,0
3.5,0,0,0
3,0,0,0
3,0,0,0
2.8,0,0,0
2.6,0,0,0
3.3,0,0,0
2.6,0,0,0
2.8,0,0,0
3.7,0,0,0
5.3,35,20.2,20.1
48.3,186.6,121.5,110.5
