Date (GMT+1),Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)"
,Power (MW),Power (MW),Power (MW)
2020-01-01T00:00+01:00,0.1,0,0
2020-01-01T00:15+01:00,0.1,0,0
2020-01-01T00:30+01:00,0.1,0,0
2020-01-01T00:45+01:00,0.1,0,0
2020-01-01T01:00+01:00,0.1,0,0
2020-01-01T01:15+01:00,0.1,0,0
2020-01-01T01:30+01:00,0.1,0,0
2020-01-01T01:45+01:00,0.1,0,0
2020-01-01T02:00+01:00,0.1,0,0
2020-01-01T02:15+01:00,0.1,0,0
2020-01-01T02:30+01:00,0.1,0,0
2020-01-01T02:45+01:00,0.1,0,0
2020-01-01T03:00+01:00,0.1,0,0
2020-01-01T03:15+01:00,0.1,0,0
2020-01-01T03:30+01:00,0.1,0,0
2020-01-01T03:45+01:00,0.1,0,0
2020-01-01T04:00+01:00,0.1,0,0
2020-01-01T04:15+01:00,0.1,0,0
2020-01-01T04:30+01:00,0.1,0,0
2020-01-01T04:45+01:00,0.1,0,0
2020-01-01T05:00+01:00,0.1,0,0
2020-01-01T05:15+01:00,0.1,0,0
2020-01-01T05:30+01:00,0.2,0,0
2020-01-01T05:45+01:00,0.2,0,0
2020-01-01T06:00+01:00,0.2,0,0
2020-01-01T06:15+01:00,0.2,0,0
2020-01-01T06:30+01:00,0.2,0,0
2020-01-01T06:45+01:00,0.2,0,0
2020-01-01T07:00+01:00,0.2,0,0
2020-01-01T07:15+01:00,0.3,0,0
2020-01-01T07:30+01:00,0.5,0,0
2020-01-01T07:45+01:00,0.7,0,0
2020-01-01T08:00+01:00,8.9,12.6,12.2
2020-01-01T08:15+01:00,103.7,105.5,88.9
2020-01-01T08:30+01:00,410.7,359.6,359.3
2020-01-01T08:45+01:00,942.9,837.1,896.5
2020-01-01T09:00+01:00,1684,1485.2,1635.2
2020-01-01T09:15+01:00,2570.4,2279.4,2525.8
2020-01-01T09:30+01:00,3453,3107.2,3486
2020-01-01T09:45+01:00,4407.1,3941.6,4459
2020-01-01T10:00+01:00,5321.9,4721.1,5344.4
2020-01-01T10:15+01:00,6180.5,5466.2,6196.7
2020-01-01T10:30+01:00,7028.6,6152.1,7003.2
2020-01-01T10:45+01:00,7917.6,6797.6,7764.3
2020-01-01T11:00+01:00,8662.8,7373.9,8453.3
2020-01-01T11:15+01:00,9321.8,7879.3,9063.8
2020-01-01T11:30+01:00,9894.7,8304.8,9564.8
2020-01-01T11:45+01:00,10321.4,8642.2,9965.7
2020-01-01T12:00+01:00,10725.7,8870.9,10267.8
2020-01-01T12:15+01:00,10872.9,8997.4,10431.8
2020-01-01T12:30+01:00,11042,9003.8,10471.7
2020-01-01T12:45+01:00,10891.6,8909.9,10385.7
2020-01-01T13:00+01:00,10691.3,8730,10229.6
2020-01-01T13:15+01:00,10282.8,8434.5,9932.3
2020-01-01T13:30+01:00,9843,8032.9,9472.7
2020-01-01T13:45+01:00,9175.5,7505.6,8817.5
