Date (GMT+1),Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Others,Waste,Wind offshore,Wind onshore,Solar,Load (incl. self-consumption)
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2025-01-01T00:00+01:00,1706.2,4501.3,3335.9,2806.7,521.7,668.7,5577.4,23.8,108.6,453.1,1479.8,997.3,2415.1,32060.2,0,51529.7
2025-01-01T00:15+01:00,1721,4355.5,3350,2552.2,521.8,568,5558.6,23.8,160.7,838.4,1480.2,997,2601.3,31922.3,0,50595.8
2025-01-01T00:30+01:00,1720.6,4288.4,3346.6,2527.1,521.8,567.1,5506,23.8,75.1,435.4,1480.3,997.1,2542.3,31920.9,0,50637
2025-01-01T00:45+01:00,1751.2,4257.1,3378.7,2514.8,521.8,579.3,5580.2,23.9,58,105.9,1480,998.6,2450,31982,0,50502.3
2025-01-01T01:00+01:00,1723.4,4329.6,3929.1,2507.8,521.8,570.7,5335.9,24,58.5,367,1479.5,1002.6,2252.6,32334.3,0,50239.8
2025-01-01T01:15+01:00,1687,4274.7,3955.1,2526,521.8,560.2,5010.6,23.9,30.2,84.9,1479.2,992.6,2510,32564.7,0,49948.7
2025-01-01T01:30+01:00,1709.1,4270.7,3778.5,2518.8,521.8,567.5,4986,23.9,55.5,124.7,1478.8,1004,2410.5,32711.5,0,49831.2
2025-01-01T01:45+01:00,1728.5,4275.1,3675.5,2523.9,521.8,581,5161.7,23.9,55.4,0.3,1478.8,1003.2,2407.9,32781.2,0,49521.9
2025-01-01T02:00+01:00,1693.8,4233.5,3393.8,2522.5,521.8,564.1,4956.5,23.9,35.1,3.8,1478.6,997.4,2676.4,32844,0,49216.6
2025-01-01T02:15+01:00,1680.4,4262.2,3339,2525.9,521.8,532.4,5015,23.9,17.3,0.2,1481.2,996.9,2663.9,32979.8,0,48813.2
2025-01-01T02:30+01:00,1707.8,4260.4,3349.5,2514.3,521.7,543,4996.3,23.9,40.3,0.2,1480.3,1000.4,2586.3,32773.4,0,48576.9
2025-01-01T02:45+01:00,1686.5,4275.5,3310.8,2506.4,521.7,513.2,5006.5,24.1,23,0.2,1480,998,2529.9,32755.8,0,48380.2
2025-01-01T03:00+01:00,1682,4271.8,3315,2513.4,521.7,502.7,4961.1,24.2,21.9,306,1481.5,987.1,1805.2,31821.3,0,47780.1
2025-01-01T03:15+01:00,1678,4266.1,3305.2,2451.8,521.8,488.4,5050.1,24.2,22.8,81.6,1478.5,990,1746.9,31712.1,0,47769
2025-01-01T03:30+01:00,1664.9,4249,3302.8,2402.1,521.8,490.6,5120.5,24.1,15.1,0.2,1478.5,995.6,1640.6,32027.8,0,47256.9
2025-01-01T03:45+01:00,1661.4,4257.2,3311.7,2413,521.7,496.2,5136,24.2,9.3,0.2,1478.1,994.6,1544.3,32326.4,0,47182.4
2025-01-01T04:00+01:00,1666.1,4251.2,3333.8,2402.1,521.7,487.8,5138.5,24.2,60.3,10.4,1478.5,983.2,1424,32158.6,0,46554.8
2025-01-01T04:15+01:00,1665.6,4233.7,3323.8,2412.6,521.8,475.9,5149.7,24.3,17.6,1.6,1478.8,999.9,1379.3,32045.1,0,46632.9
2025-01-01T04:30+01:00,1668.7,4222.4,3315.3,2396.6,521.8,467.4,5100.5,24.3,21.9,1.3,1479.5,998.1,1296.6,32195.5,13.2,46390
2025-01-01T04:45+01:00,1655.8,4221.4,3306.9,2361.7,521.8,465.5,5140.6,24.3,12.9,0.1,1479.5,994.6,1211.1,32413.1,13.1,46164.2
2025-01-01T05:00+01:00,1649.6,4213.8,3296.1,2229.1,521.8,469.1,5262.3,24.2,9.4,0,1478.3,1007.8,1267,32526.8,14,46832.9
2025-01-01T05:15+01:00,1657.3,4226.5,3307.1,2213.6,521.8,470.8,5294.2,24.2,11,0,1478.6,998.9,1230.5,32555.6,12.8,46660
2025-01-01T05:30+01:00,1658.6,4238.6,3315.2,2228.2,521.8,462.3,5289.2,24.1,10.7,0,1478.6,999.5,1166.7,32722.3,12.8,46614.2
2025-01-01T05:45+01:00,1661,4256.4,3305,2235.4,521.8,462.4,5295,24.1,12.3,0,1479.3,992.3,987.6,32784.3,12.8,46539.7
2025-01-01T06:00+01:00,1661.4,4277.6,3325.1,2176.2,521.8,477.9,5280.6,24,44.7,19,1467,1001.3,935.1,34484,15,46204
2025-01-01T06:15+01:00,1669,4272.2,3324.8,2141.1,521.8,468.1,5264.3,23.9,45.3,34.2,1465.4,995.1,1006,34411.1,15.1,45948.6
2025-01-01T06:30+01:00,1671.8,4264.3,3318.4,2053.7,521.8,452.6,5312.1,23.9,34.4,12.9,1465.1,989.9,1102.9,34361.1,15.3,45925.2
2025-01-01T06:45+01:00,1681.6,4283.4,3310.3,2034.7,521.8,464.9,5349.5,23.9,84.4,1.4,1465.2,1002.8,1103.6,34606.6,15.5,45747
2025-01-01T07:00+01:00,1694.4,4320.7,3361.6,1924.7,521.8,455.6,5328.5,23.9,181.9,322.8,1465.1,999.5,1257.5,34980.1,15.6,45983.9
2025-01-01T07:15+01:00,1689.7,4319,3337.8,1832.1,521.8,474.6,5269.1,23.1,163.6,22.9,1464.6,994.1,1269.5,35049.4,15.9,46302
2025-01-01T07:30+01:00,1655.6,4262.2,3314.4,1842.4,521.8,461.4,5226.6,23,151.2,23.1,1465.3,997.3,1345.9,35201.3,16.8,46435.2
2025-01-01T07:45+01:00,1667.5,4338.9,3322.5,1767.6,521.7,462.6,5140.2,23,106.2,11.4,1464.8,1001.5,1366.7,35156.2,23.6,46589.6
2025-01-01T08:00+01:00,1675.6,4410.4,3312.3,1749.9,521.8,455.6,5074.8,23,104.6,23.7,1464.4,995.3,2305.8,34873.4,63,47973.6
2025-01-01T08:15+01:00,1676.2,4439.1,3314.5,1761.1,521.8,454.3,4834,22.9,108.3,66.9,1464.6,991.5,2509.1,34831,301.3,48507.5
2025-01-01T08:30+01:00,1673.6,4441.3,3334.6,1697.5,521.8,450.3,4670.2,22.8,135.8,68.9,1463.9,986,2439,34537,1348.4,48745.3
2025-01-01T08:45+01:00,1676.9,4423.1,3333.5,1684.6,521.8,458.7,4746.6,22.7,87.3,66.8,1464.8,1001.5,2422.2,34481,2472.9,49171.4
2025-01-01T09:00+01:00,1692,4434.5,3315.8,1693,521.8,457.2,4757.4,22.5,107.6,27.3,1464.5,1001,2238.3,33747.8,3780,49916.1
2025-01-01T09:15+01:00,1718.7,4427,3323.7,1688,521.8,452.2,4758,22.4,149.6,41,1464.3,1002.3,2102.1,33591.3,5117.8,50391.2
2025-01-01T09:30+01:00,1709.4,4445.5,3323.8,1692.8,521.8,456.3,4755,22.2,165.4,56.6,1465.1,996.9,2020.1,33548.3,6578.4,50926.3
2025-01-01T09:45+01:00,1712.8,4446.2,3321.2,1701.6,521.8,475.9,4719.7,22.1,52.8,37.4,1464.6,996.4,2015.5,33696.3,7967.9,51768.8
2025-01-01T10:00+01:00,1725.9,4396.8,3354.3,1698,521.8,493.1,4746.6,21.9,119.3,45,1441.5,996.9,2169.6,34772.4,9367.9,52546.4
2025-01-01T10:15+01:00,1737.9,4376.6,3355.8,1702.3,521.8,514.4,4717.6,21.6,47.1,25.4,1437.9,999.9,2189.3,35276,10797.6,53135.4
2025-01-01T10:30+01:00,1743.7,4319.4,3357.5,1716,521.8,492.5,4693.4,21.5,108.3,34.5,1437.7,997.9,2033.5,35336.5,12128.7,53437.4
2025-01-01T10:45+01:00,1750.1,4326.1,3359,1718.9,521.9,493.2,4728.3,21.2,45.5,2.4,1437.6,998.1,2073.1,35225.4,13491.1,54136.3
2025-01-01T11:00+01:00,1766.3,4371.1,3354.8,1708.7,521.8,522.6,4721.9,20.8,66.7,32.1,1433.5,994.9,1840.3,35340.5,14733.5,54765.2
